trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",25,-33,-314.52349118285633,"{0: 33, 1: 7, 2: 10, 3: 4, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.998001}",20,-18,-198.8433592120309,"{0: 25, 1: 0, 2: 7, 3: 3, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.997002999}",25,-29,-420.72968183287503,"{0: 29, 1: 3, 2: 13, 3: 2, 4: 7}",0
4,False,"{'a': 0.5, 'e': 0.996005996001}",20,12,-38.61963568217149,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.995009990004999}",20,-100,-410.4285837828677,"{0: 75, 1: 15, 2: 22, 3: 5, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.994014980014994}",20,-42,-245.46053260935153,"{0: 43, 1: 5, 2: 8, 3: 2, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.993020965034979}",25,-48,-465.03644322022916,"{0: 42, 1: 8, 2: 11, 3: 5, 4: 7}",0
8,False,"{'a': 0.5, 'e': 0.9920279440699441}",20,-6,-78.51904452816981,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9910359161258742}",25,-74,-522.3489910350763,"{0: 61, 1: 8, 2: 19, 3: 3, 4: 8}",0
10,False,"{'a': 0.5, 'e': 0.9900448802097482}",20,-100,-722.4098758416186,"{0: 69, 1: 10, 2: 25, 3: 6, 4: 10}",0
11,False,"{'a': 0.5, 'e': 0.9890548353295385}",25,-100,-692.2935148456303,"{0: 72, 1: 15, 2: 24, 3: 4, 4: 10}",0
12,False,"{'a': 0.5, 'e': 0.988065780494209}",35,-21,-204.32281026414066,"{0: 37, 1: 8, 2: 6, 3: 2, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9870777147137147}",25,-100,-589.9871412870177,"{0: 75, 1: 16, 2: 22, 3: 5, 4: 7}",0
14,False,"{'a': 0.5, 'e': 0.986090636999001}",25,-4,-64.97702728720226,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9851045463620021}",20,-100,-805.79990418053,"{0: 65, 1: 15, 2: 23, 3: 4, 4: 13}",0
16,False,"{'a': 0.5, 'e': 0.98411944181564}",20,8,-78.38021579445542,"{0: 4, 1: 1, 2: 6, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.9831353223738244}",20,-90,-515.4311895017094,"{0: 65, 1: 12, 2: 22, 3: 5, 4: 6}",0
18,False,"{'a': 0.5, 'e': 0.9821521870514506}",25,-64,-345.25869898283497,"{0: 53, 1: 10, 2: 19, 3: 4, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.9811700348643991}",20,-5,-130.40196812885534,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9801888648295347}",20,5,-12.76902208035212,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.9792086759647052}",20,-100,-740.0345958120682,"{0: 72, 1: 8, 2: 24, 3: 4, 4: 12}",0
22,False,"{'a': 0.5, 'e': 0.9782294672887405}",20,-30,-146.8616644695379,"{0: 34, 1: 4, 2: 9, 3: 2, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9772512378214517}",25,-34,-312.3237636060458,"{0: 32, 1: 8, 2: 13, 3: 2, 4: 4}",0
24,False,"{'a': 0.5, 'e': 0.9762739865836303}",25,4,-91.28271657459346,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 2}",1
25,False,"{'a': 0.5, 'e': 0.9752977125970467}",35,11,-83.52667577178798,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.9743224148844496}",20,-100,-579.5848692998776,"{0: 78, 1: 15, 2: 14, 3: 2, 4: 11}",0
27,False,"{'a': 0.5, 'e': 0.9733480924695651}",20,-77,-449.34002767820164,"{0: 51, 1: 11, 2: 29, 3: 3, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.9723747443770956}",20,-50,-310.6444430198201,"{0: 44, 1: 4, 2: 15, 3: 4, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.9714023696327185}",20,-47,-401.72838939420126,"{0: 37, 1: 8, 2: 14, 3: 2, 4: 6}",0
30,False,"{'a': 0.5, 'e': 0.9704309672630859}",20,-80,-485.9375684830417,"{0: 61, 1: 5, 2: 23, 3: 6, 4: 5}",0
31,False,"{'a': 0.5, 'e': 0.9694605362958227}",25,-2,-106.84662505862141,"{0: 17, 1: 1, 2: 7, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9684910757595269}",25,-100,-340.1793354104078,"{0: 81, 1: 15, 2: 24, 3: 3, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.9675225846837673}",20,-10,-79.72000175552034,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9665550620990835}",25,-100,-528.4492804096167,"{0: 79, 1: 17, 2: 15, 3: 8, 4: 6}",0
35,False,"{'a': 0.5, 'e': 0.9655885070369844}",20,-100,-525.2218706900276,"{0: 76, 1: 8, 2: 26, 3: 4, 4: 6}",0
36,False,"{'a': 0.5, 'e': 0.9646229185299474}",25,-100,-511.14597057833885,"{0: 82, 1: 11, 2: 20, 3: 5, 4: 7}",0
37,False,"{'a': 0.5, 'e': 0.9636582956114175}",25,-57,-466.5115899231181,"{0: 49, 1: 4, 2: 20, 3: 2, 4: 7}",0
38,False,"{'a': 0.5, 'e': 0.9626946373158061}",20,-78,-476.181476244483,"{0: 60, 1: 7, 2: 22, 3: 3, 4: 6}",0
39,False,"{'a': 0.5, 'e': 0.9617319426784903}",25,12,-27.990289284779152,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.9607702107358118}",30,-98,-590.2415118907251,"{0: 79, 1: 10, 2: 26, 3: 6, 4: 7}",0
41,False,"{'a': 0.5, 'e': 0.959809440525076}",25,19,10.310874282737725,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.9588496310845509}",20,-7,-170.02263940226158,"{0: 15, 1: 3, 2: 4, 3: 3, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.9578907814534664}",25,-11,-147.59795096806195,"{0: 23, 1: 3, 2: 7, 3: 1, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.9569328906720129}",20,10,-96.79385539086417,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 2}",1
45,False,"{'a': 0.5, 'e': 0.9559759577813409}",20,-2,-58.3725971678508,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9550199818235596}",30,-100,-574.4162738514038,"{0: 88, 1: 6, 2: 24, 3: 3, 4: 9}",0
47,False,"{'a': 0.5, 'e': 0.9540649618417361}",25,-35,-291.37735988867433,"{0: 34, 1: 9, 2: 10, 3: 4, 4: 3}",0
48,False,"{'a': 0.5, 'e': 0.9531108968798944}",25,-15,-255.53608656740894,"{0: 21, 1: 4, 2: 10, 3: 2, 4: 3}",0
49,False,"{'a': 0.5, 'e': 0.9521577859830145}",30,-12,-225.72218255012044,"{0: 26, 1: 4, 2: 7, 3: 1, 4: 4}",0
50,False,"{'a': 0.5, 'e': 0.9512056281970315}",20,-45,-258.98797161439455,"{0: 40, 1: 9, 2: 11, 3: 2, 4: 3}",0
51,False,"{'a': 0.5, 'e': 0.9502544225688344}",25,-92,-580.3204140558323,"{0: 72, 1: 9, 2: 22, 3: 7, 4: 7}",0
52,False,"{'a': 0.5, 'e': 0.9493041681462656}",25,-13,-168.4832220080163,"{0: 22, 1: 5, 2: 8, 3: 1, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9483548639781193}",20,-9,-92.351978818167,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.9474065091141411}",30,-100,-562.0293287583437,"{0: 79, 1: 13, 2: 27, 3: 5, 4: 6}",0
55,False,"{'a': 0.5, 'e': 0.946459102605027}",30,-63,-590.5799171007474,"{0: 57, 1: 2, 2: 19, 3: 6, 4: 9}",0
56,False,"{'a': 0.5, 'e': 0.9455126435024219}",35,-100,-773.7476131794655,"{0: 78, 1: 20, 2: 18, 3: 8, 4: 11}",0
57,False,"{'a': 0.5, 'e': 0.9445671308589195}",20,-88,-518.3018303230191,"{0: 60, 1: 16, 2: 22, 3: 5, 4: 5}",0
58,False,"{'a': 0.5, 'e': 0.9436225637280606}",20,3,-178.58589631931167,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 4}",1
59,False,"{'a': 0.5, 'e': 0.9426789411643326}",25,-2,-20.4264918828987,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.9417362622231683}",20,-62,-352.40291915048925,"{0: 54, 1: 6, 2: 14, 3: 3, 4: 5}",0
