trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-69,-427.95081055260346,"{0: 53, 1: 5, 2: 24, 3: 2, 4: 5}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,-100,-722.754037108972,"{0: 76, 1: 13, 2: 15, 3: 11, 4: 10}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,-100,-625.1855830601781,"{0: 67, 1: 9, 2: 35, 3: 2, 4: 7}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,-100,-636.58035415239,"{0: 72, 1: 13, 2: 26, 3: 7, 4: 7}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,-100,-587.546391144488,"{0: 77, 1: 13, 2: 22, 3: 5, 4: 8}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,-100,-659.1545809257922,"{0: 65, 1: 18, 2: 24, 3: 5, 4: 8}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,-4,-178.2063544125433,"{0: 12, 1: 7, 2: 7, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,-100,-871.2918210382782,"{0: 70, 1: 9, 2: 28, 3: 4, 4: 14}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,5,-97.49360721519524,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,2,-99.99142936132239,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,-100,-792.8818958803471,"{0: 66, 1: 8, 2: 30, 3: 5, 4: 11}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,-100,-558.7701191391474,"{0: 84, 1: 8, 2: 19, 3: 5, 4: 9}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,-75,-440.37628584992245,"{0: 56, 1: 10, 2: 21, 3: 3, 4: 5}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,-95,-535.4434747964907,"{0: 79, 1: 7, 2: 21, 3: 5, 4: 8}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,-20,-245.4859249103038,"{0: 20, 1: 7, 2: 7, 3: 3, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,-72,-429.10597757680154,"{0: 69, 1: 7, 2: 15, 3: 5, 4: 6}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,18,-39.30647284025073,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,-100,-664.2509118021384,"{0: 71, 1: 11, 2: 27, 3: 10, 4: 6}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,-100,-781.1442872046631,"{0: 73, 1: 9, 2: 26, 3: 5, 4: 12}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,-100,-596.0000973806273,"{0: 81, 1: 10, 2: 21, 3: 3, 4: 10}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,-100,-345.9764494732639,"{0: 89, 1: 11, 2: 17, 3: 3, 4: 5}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,-43,-154.14221444459753,"{0: 48, 1: 6, 2: 9, 3: 5, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,-13,-207.82418077573402,"{0: 23, 1: 4, 2: 6, 3: 2, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,-40,-250.41562794141134,"{0: 38, 1: 7, 2: 9, 3: 3, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,-64,-344.4534741506222,"{0: 57, 1: 4, 2: 15, 3: 3, 4: 5}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,-6,-119.596546699928,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,10,-31.104850295537876,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",30,-100,-750.0109919421382,"{0: 76, 1: 13, 2: 25, 3: 5, 4: 11}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,-100,-794.4332713076224,"{0: 66, 1: 10, 2: 28, 3: 4, 4: 12}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,-100,-454.6624582389762,"{0: 63, 1: 18, 2: 35, 3: 3, 4: 1}",0
